,nome_jogador,nota_geral,nota_potencial,valor_eur,salario_eur,idade,altura_cm,peso_kg,pe_fraco,habilidade,rescisao_eur,ritmo,chute,passe,drible,defesa,fisico,mentalidade_visao,mentalidade_compostura,mentalidade_posicionamento,poder_salto,poder_stamina,poder_forca,posicao
71,Thiago Silva,85,85,9500000.0,105000.0,36,183,79,3,2,17600000.0,53.0,54.0,72.0,72.0,86.0,78.0,71,86,59,88,68,82,Zagueiro
73,Y. Sommer,85,85,26500000.0,40000.0,32,183,79,4,1,45100000.0,,,,,,,64,57,15,73,45,68,Goleiro
74,E. Cavani,85,85,26000000.0,190000.0,34,185,77,4,3,48100000.0,66.0,86.0,70.0,76.0,51.0,79.0,75,85,93,88,81,77,Atacante
76,L. Bonucci,85,85,17500000.0,110000.0,34,190,85,4,2,28900000.0,64.0,58.0,69.0,72.0,86.0,80.0,71,86,38,90,65,86,Zagueiro
77,P. Gulácsi,85,85,28500000.0,87000.0,31,191,86,2,1,48500000.0,,,,,,,44,45,11,67,35,74,Goleiro
78,İ. Gündoğan,85,85,51500000.0,185000.0,30,180,80,4,4,95300000.0,65.0,80.0,85.0,86.0,73.0,72.0,86,87,82,61,74,73,Meio campo
80,K. Walker,85,85,39000000.0,170000.0,31,183,83,2,3,72200000.0,92.0,63.0,76.0,78.0,80.0,82.0,69,75,68,83,86,80,Zagueiro
81,P. Aubameyang,85,85,43500000.0,145000.0,32,187,80,4,4,82700000.0,89.0,85.0,75.0,80.0,35.0,69.0,77,87,90,75,79,74,Atacante
82,Koke,85,85,52500000.0,90000.0,29,176,75,4,3,107600000.0,70.0,75.0,85.0,81.0,79.0,80.0,86,86,83,59,93,75,Meio campo
83,A. Griezmann,85,85,53000000.0,220000.0,30,176,73,3,4,,80.0,84.0,84.0,87.0,52.0,72.0,85,90,89,90,86,63,Atacante
84,S. de Vrij,85,85,45000000.0,145000.0,29,189,78,3,2,76500000.0,72.0,41.0,64.0,70.0,87.0,79.0,70,85,31,79,80,79,Zagueiro
87,Carvajal,85,85,47500000.0,210000.0,29,173,73,3,3,97400000.0,80.0,54.0,78.0,80.0,81.0,80.0,74,81,75,77,89,74,Zagueiro
88,Jorginho,85,85,52500000.0,170000.0,29,180,68,3,3,97100000.0,55.0,67.0,86.0,81.0,73.0,73.0,88,81,69,58,87,66,Meio campo
90,S. Milinković-Savić,85,87,66000000.0,100000.0,26,191,76,5,4,117200000.0,68.0,79.0,80.0,81.0,79.0,86.0,82,84,79,85,91,87,Meio campo
93,L. Martínez,85,89,78000000.0,145000.0,23,174,72,4,4,138500000.0,84.0,81.0,72.0,85.0,48.0,84.0,81,83,86,88,80,84,Atacante
95,A. Hakimi,85,88,69500000.0,100000.0,22,181,73,4,3,133800000.0,95.0,71.0,78.0,83.0,76.0,78.0,75,80,78,80,91,73,Zagueiro
96,M. de Ligt,85,90,75000000.0,81000.0,21,189,89,3,2,129400000.0,73.0,59.0,60.0,69.0,84.0,87.0,45,82,44,93,75,93,Zagueiro
97,Z. Ibrahimović,84,84,14500000.0,51000.0,39,195,95,4,5,24700000.0,65.0,87.0,78.0,79.0,34.0,77.0,84,90,89,79,52,87,Atacante
98,Jesús Navas,84,84,13000000.0,30000.0,35,172,60,2,4,27300000.0,87.0,69.0,81.0,83.0,79.0,58.0,83,82,81,63,82,39,Zagueiro
99,Piqué,84,84,13500000.0,175000.0,34,194,85,3,2,27700000.0,58.0,61.0,71.0,68.0,85.0,78.0,72,87,64,74,63,86,Zagueiro
101,G. Wijnaldum,84,84,40500000.0,115000.0,30,175,74,4,4,74900000.0,77.0,75.0,80.0,86.0,79.0,79.0,79,86,79,81,93,74,Meio campo
104,K. Trippier,84,84,36500000.0,74000.0,30,173,69,4,3,74800000.0,73.0,63.0,82.0,77.0,80.0,72.0,80,77,76,78,87,64,Zagueiro
105,Iago Aspas,84,84,27000000.0,46000.0,33,176,67,4,3,56700000.0,82.0,85.0,79.0,86.0,35.0,63.0,81,85,84,66,69,60,Atacante
106,De Gea,84,84,28000000.0,120000.0,30,192,82,3,1,51800000.0,,,,,,,61,63,12,67,43,55,Goleiro
107,D. Alaba,84,84,35500000.0,195000.0,29,180,78,4,3,72800000.0,77.0,70.0,81.0,80.0,83.0,76.0,78,85,73,81,75,76,Zagueiro
110,W. Ben Yedder,84,84,41500000.0,88000.0,30,170,68,5,4,78900000.0,82.0,84.0,77.0,87.0,39.0,70.0,80,85,90,78,75,69,Atacante
111,L. Digne,84,84,40500000.0,110000.0,27,178,74,2,3,77000000.0,79.0,69.0,80.0,80.0,80.0,76.0,75,81,73,94,86,69,Zagueiro
113,E. Martínez,84,85,33500000.0,81000.0,28,195,88,4,1,66200000.0,,,,,,,66,60,12,60,40,70,Goleiro
114,H. Maguire,84,86,42500000.0,155000.0,28,194,100,3,2,81800000.0,50.0,55.0,69.0,70.0,85.0,87.0,70,85,61,85,82,90,Zagueiro
115,S. Savić,84,84,34500000.0,74000.0,30,187,80,3,2,70700000.0,64.0,35.0,57.0,58.0,87.0,76.0,55,80,29,86,53,83,Zagueiro
116,M. Sabitzer,84,85,48000000.0,110000.0,27,178,76,4,3,82800000.0,78.0,84.0,81.0,80.0,67.0,78.0,83,80,83,71,85,76,Meio campo
117,L. Shaw,84,86,48500000.0,140000.0,25,181,75,2,3,93400000.0,79.0,54.0,79.0,80.0,81.0,80.0,81,83,78,83,80,79,Zagueiro
119,M. Ginter,84,85,42500000.0,45000.0,27,191,86,3,2,75400000.0,62.0,58.0,72.0,66.0,86.0,79.0,72,71,55,77,75,84,Zagueiro
120,Felipe,84,84,27500000.0,74000.0,32,190,84,3,2,56400000.0,61.0,41.0,58.0,62.0,85.0,84.0,50,75,34,89,68,90,Zagueiro
124,R. Guerreiro,84,84,40500000.0,79000.0,27,170,71,2,4,68900000.0,75.0,77.0,85.0,88.0,76.0,58.0,85,86,79,53,79,50,Zagueiro
125,Ricardo Pereira,84,84,40500000.0,130000.0,27,175,70,4,3,77000000.0,83.0,67.0,78.0,82.0,80.0,75.0,76,81,77,75,84,69,Zagueiro
126,T. Werner,84,87,56500000.0,155000.0,25,180,76,4,3,108800000.0,91.0,81.0,70.0,82.0,35.0,70.0,68,79,88,75,83,65,Atacante
127,M. Maignan,84,89,49500000.0,45000.0,25,191,89,4,1,87900000.0,,,,,,,60,65,15,74,39,78,Goleiro
129,Y. Tielemans,84,87,57000000.0,125000.0,24,176,72,5,4,112600000.0,63.0,79.0,86.0,80.0,71.0,72.0,87,86,80,66,81,69,Meio campo
130,J. Giménez,84,88,52000000.0,74000.0,26,185,79,3,2,110500000.0,69.0,45.0,57.0,59.0,86.0,80.0,46,76,24,90,60,86,Zagueiro
133,N. Barella,84,89,63500000.0,120000.0,24,172,68,3,3,112700000.0,78.0,71.0,79.0,86.0,75.0,78.0,83,85,83,78,95,69,Meio campo
134,M. Acuña,84,84,37000000.0,45000.0,29,172,69,3,4,77700000.0,76.0,74.0,82.0,87.0,79.0,82.0,82,87,81,63,90,80,Zagueiro
135,André Silva,84,85,51000000.0,110000.0,25,185,84,3,4,90500000.0,74.0,84.0,69.0,83.0,45.0,77.0,74,84,87,88,79,76,Atacante
137,T. Hernández,84,90,62500000.0,51000.0,23,184,81,3,3,118800000.0,93.0,71.0,76.0,81.0,77.0,82.0,74,80,80,68,90,79,Zagueiro
143,Sergio Asenjo,83,83,18000000.0,37000.0,32,189,87,3,1,37800000.0,,,,,,,46,64,12,73,41,73,Goleiro
144,S. Kjær,83,83,23500000.0,54000.0,32,190,86,3,2,40000000.0,67.0,55.0,64.0,59.0,85.0,78.0,55,69,31,81,65,82,Zagueiro
145,E. Džeko,83,83,15500000.0,105000.0,35,193,80,5,3,26400000.0,66.0,83.0,72.0,78.0,45.0,76.0,74,86,90,64,74,86,Atacante
146,J. Boateng,83,83,23500000.0,81000.0,32,190,94,4,2,44700000.0,72.0,50.0,73.0,67.0,84.0,79.0,78,84,47,74,60,87,Zagueiro
147,T. Alderweireld,83,83,,,32,186,81,3,2,,58.0,55.0,70.0,67.0,86.0,77.0,62,86,52,81,76,77,Zagueiro
148,Azpilicueta,83,83,25000000.0,125000.0,31,178,77,3,2,46300000.0,66.0,55.0,76.0,72.0,84.0,76.0,72,78,62,83,77,70,Zagueiro
149,Paulinho,83,83,28500000.0,61000.0,32,183,80,4,4,48500000.0,72.0,81.0,77.0,81.0,80.0,85.0,82,81,83,92,91,82,Meio campo
151,Canales,83,83,34500000.0,38000.0,30,176,65,3,4,72500000.0,83.0,80.0,85.0,82.0,67.0,71.0,89,80,85,38,80,71,Meio campo
152,L. Hrádecký,83,83,19000000.0,55000.0,31,192,83,3,1,32300000.0,,,,,,,53,48,9,69,34,55,Goleiro
153,Alex Sandro,83,83,31500000.0,95000.0,30,180,80,3,3,52000000.0,81.0,65.0,77.0,79.0,78.0,79.0,70,80,70,79,83,77,Zagueiro
154,B. Leno,83,84,28000000.0,87000.0,29,190,83,3,1,55300000.0,,,,,,,56,62,7,73,43,70,Goleiro
155,K. Manolas,83,83,30000000.0,80000.0,30,189,83,2,2,51000000.0,81.0,25.0,44.0,62.0,85.0,81.0,22,83,25,91,69,83,Zagueiro
157,J. Cuadrado,83,83,19000000.0,95000.0,33,179,72,3,5,31400000.0,90.0,75.0,77.0,87.0,76.0,72.0,72,74,75,80,78,66,Zagueiro
158,J. Matip,83,83,30500000.0,130000.0,29,194,90,2,2,56400000.0,58.0,46.0,68.0,68.0,85.0,78.0,72,80,48,75,69,81,Zagueiro
159,S. Coates,83,83,30000000.0,21000.0,30,196,92,3,2,60000000.0,68.0,49.0,55.0,63.0,84.0,87.0,60,79,49,57,80,94,Zagueiro
160,F. Acerbi,83,83,17500000.0,75000.0,33,192,88,3,3,29800000.0,63.0,50.0,62.0,64.0,86.0,83.0,65,85,20,70,87,85,Zagueiro
162,K. Volland,83,83,37000000.0,83000.0,28,179,85,4,3,70300000.0,73.0,85.0,79.0,80.0,42.0,86.0,82,86,86,77,90,87,Atacante
163,Morata,83,83,37000000.0,84000.0,28,190,84,4,3,,82.0,80.0,72.0,81.0,31.0,77.0,77,79,87,84,77,80,Atacante
164,M. Icardi,83,83,37000000.0,120000.0,28,181,75,4,3,68500000.0,69.0,83.0,65.0,77.0,36.0,69.0,72,83,91,91,67,73,Atacante
165,L. Spinazzola,83,83,33000000.0,72000.0,28,186,75,4,4,56100000.0,92.0,64.0,73.0,80.0,78.0,71.0,72,69,77,69,81,66,Lateral
166,J. Stones,83,86,41000000.0,140000.0,27,188,76,4,3,78900000.0,70.0,51.0,71.0,74.0,84.0,78.0,67,80,52,83,77,78,Zagueiro
167,N. Pope,83,83,25000000.0,45000.0,29,199,76,3,1,47500000.0,,,,,,,45,63,13,72,37,75,Goleiro
168,R. Jiménez,83,83,35500000.0,120000.0,30,188,81,4,3,67500000.0,72.0,82.0,76.0,81.0,47.0,82.0,78,81,84,74,82,84,Atacante
169,J. Pickford,83,85,33000000.0,83000.0,27,185,77,4,1,65200000.0,,,,,,,69,65,18,77,45,70,Goleiro
170,A. Rüdiger,83,84,34500000.0,130000.0,28,190,85,3,2,66400000.0,75.0,43.0,68.0,64.0,84.0,84.0,59,72,39,84,69,88,Zagueiro
172,M. Kovačić,83,84,41500000.0,135000.0,27,176,80,4,4,79900000.0,70.0,69.0,83.0,88.0,69.0,70.0,84,81,72,75,79,63,Meio campo
173,T. Partey,83,83,36500000.0,115000.0,28,185,77,3,3,69400000.0,69.0,71.0,82.0,81.0,80.0,84.0,85,86,70,83,83,84,Meio campo
174,Gayà,83,86,43500000.0,48000.0,26,172,66,3,4,94600000.0,83.0,61.0,77.0,80.0,79.0,73.0,75,76,76,53,87,66,Zagueiro
177,Á. Correa,83,86,48000000.0,80000.0,26,171,70,4,4,102000000.0,85.0,83.0,78.0,87.0,49.0,74.0,84,76,84,49,82,71,Atacante
178,D. Zapata,83,83,35500000.0,77000.0,30,189,88,4,3,60400000.0,80.0,81.0,61.0,78.0,35.0,84.0,66,82,86,80,75,93,Atacante
179,A. Kramarić,83,83,35500000.0,59000.0,30,177,73,4,4,60400000.0,71.0,86.0,76.0,86.0,30.0,71.0,74,83,86,72,76,68,Atacante
180,Angeliño,83,86,46000000.0,77000.0,24,175,69,3,4,81700000.0,78.0,71.0,82.0,84.0,76.0,70.0,79,81,79,73,85,60,Lateral
181,L. Hernández,83,86,44500000.0,85000.0,25,184,79,3,2,76800000.0,77.0,54.0,68.0,71.0,84.0,79.0,63,76,62,86,76,77,Zagueiro
183,W. Weghorst,83,83,37000000.0,95000.0,28,197,84,3,2,62900000.0,63.0,83.0,59.0,70.0,52.0,86.0,67,83,88,79,83,89,Atacante
184,R. Gosens,83,83,36000000.0,65000.0,26,183,76,3,3,61200000.0,82.0,75.0,74.0,79.0,77.0,81.0,60,77,86,88,89,76,Lateral
185,Merino,83,87,50000000.0,47000.0,25,189,83,3,3,108800000.0,74.0,78.0,81.0,82.0,82.0,81.0,83,80,78,81,84,79,Meio campo
186,P. Kimpembe,83,87,45500000.0,90000.0,25,189,80,3,2,87600000.0,81.0,42.0,68.0,70.0,83.0,86.0,64,80,47,79,81,87,Zagueiro
187,F. Mendy,83,86,43500000.0,170000.0,26,180,73,5,4,92400000.0,92.0,64.0,76.0,79.0,78.0,84.0,75,78,80,79,89,83,Zagueiro
188,A. Wan-Bissaka,83,87,48500000.0,115000.0,23,183,72,2,4,93400000.0,85.0,52.0,69.0,79.0,81.0,75.0,66,76,70,67,81,72,Zagueiro
190,Arthur,83,85,47000000.0,90000.0,24,171,73,3,4,81100000.0,69.0,67.0,83.0,88.0,72.0,70.0,80,88,74,69,79,66,Meio campo
191,Gabriel Jesus,83,87,52500000.0,150000.0,24,175,73,3,4,101100000.0,84.0,81.0,72.0,86.0,39.0,73.0,77,79,87,79,79,69,Atacante
194,É. Mendy,83,85,30000000.0,105000.0,29,197,86,2,1,57800000.0,,,,,,,44,57,6,39,35,72,Goleiro
196,F. Valverde,83,89,58000000.0,160000.0,22,182,78,4,3,130500000.0,86.0,74.0,78.0,79.0,77.0,80.0,80,82,76,62,86,79,Meio campo
197,J. Koundé,83,89,53000000.0,33000.0,22,181,75,3,2,121900000.0,81.0,45.0,64.0,72.0,84.0,78.0,62,82,47,88,76,79,Zagueiro
199,Pepe,82,82,5500000.0,14000.0,38,188,80,3,2,11000000.0,80.0,51.0,60.0,61.0,82.0,87.0,48,80,40,89,82,86,Zagueiro
200,Raúl Albiol,82,82,8000000.0,30000.0,35,190,82,3,2,16800000.0,40.0,41.0,62.0,63.0,86.0,73.0,64,75,30,76,51,80,Zagueiro
201,Ł. Fabiański,82,82,3400000.0,43000.0,36,190,83,2,1,6500000.0,,,,,,,52,63,15,69,25,65,Goleiro
202,S. Sirigu,82,82,5000000.0,20000.0,34,192,85,2,1,9000000.0,,,,,,,55,62,10,68,34,66,Goleiro
203,I. Rakitić,82,82,18500000.0,39000.0,33,184,78,4,3,38900000.0,57.0,79.0,85.0,78.0,75.0,69.0,84,80,79,33,74,71,Meio campo
205,Rui Patrício,82,82,10000000.0,51000.0,33,190,84,2,1,17000000.0,,,,,,,64,66,13,79,45,77,Goleiro
207,M. Pjanić,82,82,25000000.0,155000.0,31,178,72,4,3,,65.0,68.0,83.0,81.0,75.0,67.0,84,84,68,59,79,60,Meio campo
208,Yuri Berchiche,82,82,22000000.0,35000.0,31,181,80,3,3,46200000.0,83.0,68.0,76.0,76.0,79.0,82.0,71,78,62,86,85,79,Zagueiro
211,K. Trapp,82,82,20500000.0,31000.0,30,189,88,4,1,34900000.0,,,,,,,46,62,12,75,45,73,Goleiro
213,C. Eriksen,82,82,29500000.0,120000.0,29,181,76,5,4,50200000.0,62.0,78.0,88.0,81.0,53.0,52.0,86,87,74,49,59,52,Meio campo
214,D. Blind,82,82,21000000.0,23000.0,31,180,72,3,3,29400000.0,45.0,64.0,82.0,79.0,83.0,72.0,83,84,66,76,76,72,Zagueiro
216,A. Areola,82,84,26000000.0,75000.0,28,195,94,3,1,,,,,,,,51,64,17,72,38,80,Goleiro
218,A. Lacazette,82,82,30000000.0,110000.0,30,175,73,4,4,57000000.0,75.0,82.0,74.0,82.0,44.0,72.0,75,80,82,76,66,75,Atacante
220,Mário Fernandes,82,82,26500000.0,57000.0,30,187,80,3,3,42400000.0,82.0,61.0,74.0,78.0,79.0,79.0,73,76,76,84,87,75,Zagueiro
221,O. Baumann,82,82,16000000.0,37000.0,31,187,82,1,1,27200000.0,,,,,,,41,52,10,73,39,69,Goleiro
222,Neto,82,82,16000000.0,115000.0,31,190,84,2,1,32800000.0,,,,,,,42,64,11,83,41,63,Goleiro
225,L. Muriel,82,82,30000000.0,70000.0,30,179,79,4,4,51000000.0,89.0,83.0,74.0,86.0,27.0,67.0,78,82,83,60,73,72,Atacante
226,A. Lopes,82,83,23000000.0,60000.0,30,184,81,2,1,45400000.0,,,,,,,48,65,9,82,36,73,Goleiro
227,Campaña,82,82,30500000.0,43000.0,28,179,70,3,4,64100000.0,68.0,74.0,83.0,82.0,71.0,72.0,86,83,76,61,82,71,Meio campo
228,Gabriel Paulista,82,82,25000000.0,44000.0,30,185,72,2,2,52500000.0,67.0,49.0,71.0,65.0,84.0,83.0,65,69,51,83,81,82,Zagueiro
232,Juan Bernat,82,82,27500000.0,90000.0,28,170,67,3,4,50900000.0,82.0,65.0,78.0,82.0,76.0,68.0,77,78,78,75,79,58,Zagueiro
235,E. Can,82,83,35000000.0,72000.0,27,186,86,4,3,62100000.0,78.0,78.0,78.0,80.0,84.0,87.0,79,79,76,87,88,86,Meio campo
236,Saúl,82,85,39500000.0,68000.0,26,184,75,4,3,,71.0,78.0,78.0,79.0,78.0,79.0,81,81,80,80,86,77,Meio campo
238,Y. Bounou,82,82,20500000.0,29000.0,30,192,78,2,1,43100000.0,,,,,,,60,57,10,48,43,69,Goleiro
239,Grimaldo,82,85,37000000.0,18000.0,25,171,69,2,3,76800000.0,87.0,65.0,81.0,83.0,74.0,71.0,78,83,77,64,90,63,Zagueiro
240,A. Romagnoli,82,83,31500000.0,49000.0,26,185,75,3,2,55900000.0,68.0,40.0,56.0,68.0,85.0,78.0,45,76,31,79,70,79,Zagueiro
242,N. Tagliafico,82,82,27500000.0,24000.0,28,172,65,2,3,38500000.0,80.0,55.0,73.0,76.0,81.0,81.0,69,77,69,90,89,75,Zagueiro
243,P. Gollini,82,87,35000000.0,48000.0,26,194,94,2,1,,,,,,,,30,63,12,52,40,68,Goleiro
244,N. Süle,82,87,40500000.0,78000.0,25,195,99,3,2,69900000.0,65.0,42.0,59.0,51.0,83.0,81.0,57,75,26,39,63,93,Zagueiro
245,Alex Telles,82,82,27500000.0,130000.0,28,181,71,2,3,50900000.0,83.0,73.0,82.0,78.0,77.0,73.0,78,77,75,81,85,65,Zagueiro
247,R. De Paul,82,83,35000000.0,68000.0,27,180,70,3,4,74400000.0,78.0,76.0,80.0,82.0,71.0,79.0,80,80,78,67,86,81,Meio campo
249,Diego Carlos,82,84,30500000.0,37000.0,28,185,86,4,3,66300000.0,76.0,47.0,63.0,68.0,81.0,83.0,63,75,52,82,73,87,Zagueiro
251,C. Lenglet,82,86,37500000.0,145000.0,26,186,81,4,2,79700000.0,72.0,45.0,67.0,66.0,83.0,79.0,66,82,54,84,75,80,Zagueiro
255,Rúben Neves,82,87,46000000.0,89000.0,24,180,80,4,3,90900000.0,59.0,75.0,85.0,77.0,74.0,73.0,86,84,65,67,79,67,Meio campo
257,J. Gomez,82,88,43500000.0,100000.0,24,188,77,3,3,89200000.0,81.0,30.0,66.0,69.0,83.0,78.0,60,74,51,76,67,83,Zagueiro
258,Fabián,82,86,42000000.0,77000.0,25,189,70,3,4,74600000.0,63.0,78.0,79.0,82.0,74.0,71.0,82,77,81,46,87,67,Meio campo
261,D. Upamecano,82,90,64000000.0,70000.0,22,186,90,3,2,118400000.0,81.0,43.0,62.0,68.0,81.0,81.0,58,71,47,87,65,88,Zagueiro
